filename,class,model,predicted
nonportable/GUI_window-manager_differences.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/GUI_window-manager_differences.1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/version.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/version.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/version.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/version.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/uname().1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/uname().1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/uname().1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/uname().1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/getuid().1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/getuid().1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/getuid().1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/getuid().1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/Line_ending_mismatch.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Line_ending_mismatch.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/Line_ending_mismatch.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Line_ending_mismatch.1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/Curses_maybe_not_avaliable_Win.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Curses_maybe_not_avaliable_Win.1.py,nonportable,x-ai/grok-4-fast,portable
nonportable/Curses_maybe_not_avaliable_Win.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Curses_maybe_not_avaliable_Win.1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/missing_a_lib.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,portable
nonportable/missing_a_lib.1.py,nonportable,x-ai/grok-4-fast,portable
nonportable/missing_a_lib.1.py,nonportable,openai/gpt-4o-mini,portable
nonportable/missing_a_lib.1.py,nonportable,deepseek/deepseek-chat-v3.1:free,portable
nonportable/Command_execution_mismatch.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Command_execution_mismatch.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/Command_execution_mismatch.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Command_execution_mismatch.1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/permission_mismatch.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/permission_mismatch.2.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/permission_mismatch.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/permission_mismatch.2.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/Address_already_in_use.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,portable
nonportable/Address_already_in_use.2.py,nonportable,x-ai/grok-4-fast,portable
nonportable/Address_already_in_use.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Address_already_in_use.2.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/Terminal_capability_mismatch.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Terminal_capability_mismatch.py,nonportable,x-ai/grok-4-fast,portable
nonportable/Terminal_capability_mismatch.py,nonportable,openai/gpt-4o-mini,portable
nonportable/Terminal_capability_mismatch.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/Encoding_mismatch.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Encoding_mismatch.2.py,nonportable,x-ai/grok-4-fast,portable
nonportable/Encoding_mismatch.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Encoding_mismatch.2.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/OS-specific_pathing.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/OS-specific_pathing.2.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/OS-specific_pathing.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/OS-specific_pathing.2.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/resource.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,portable
nonportable/resource.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/resource.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/resource.1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/Encoding_mismatch.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Encoding_mismatch.1.py,nonportable,x-ai/grok-4-fast,portable
nonportable/Encoding_mismatch.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Encoding_mismatch.1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/getpgid().1.py,nonportable,meta-llama/llama-3.3-70b-instruct,portable
nonportable/getpgid().1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/getpgid().1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/getpgid().1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/OS-specific_pathing.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/OS-specific_pathing.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/OS-specific_pathing.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/OS-specific_pathing.1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/Line_ending_mismatch.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Line_ending_mismatch.2.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/Line_ending_mismatch.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Line_ending_mismatch.2.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/missing_a_lib.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/missing_a_lib.2.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/missing_a_lib.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/missing_a_lib.2.py,nonportable,deepseek/deepseek-chat-v3.1:free,portable
nonportable/permission_mismatch.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/permission_mismatch.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/permission_mismatch.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/permission_mismatch.1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/Command_execution_mismatch.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Command_execution_mismatch.2.py,nonportable,x-ai/grok-4-fast,portable
nonportable/Command_execution_mismatch.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Command_execution_mismatch.2.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/Address_already_in_use.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Address_already_in_use.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/Address_already_in_use.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Address_already_in_use.1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/uname().2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/uname().2.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/uname().2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/uname().2.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/Signal_handling.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Signal_handling.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/Signal_handling.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Signal_handling.1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/geteuid().1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/geteuid().1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/geteuid().1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/geteuid().1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/lib_fcntl_dont_works_in_windows.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/lib_fcntl_dont_works_in_windows.py,nonportable,x-ai/grok-4-fast,portable
nonportable/lib_fcntl_dont_works_in_windows.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/lib_fcntl_dont_works_in_windows.py,nonportable,deepseek/deepseek-chat-v3.1:free,portable
nonportable/Dynamic_library_loading_mismatch.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Dynamic_library_loading_mismatch.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/Dynamic_library_loading_mismatch.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Dynamic_library_loading_mismatch.1.py,nonportable,deepseek/deepseek-chat-v3.1:free,portable
nonportable/Opened_file_locking.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Opened_file_locking.1.py,nonportable,x-ai/grok-4-fast,portable
nonportable/Opened_file_locking.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Opened_file_locking.1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/no_display_avaliable_in_github_ci_for_linux.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/no_display_avaliable_in_github_ci_for_linux.1.py,nonportable,x-ai/grok-4-fast,portable
nonportable/no_display_avaliable_in_github_ci_for_linux.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/no_display_avaliable_in_github_ci_for_linux.1.py,nonportable,deepseek/deepseek-chat-v3.1:free,nonportable
nonportable/GUI_window-manager_differences.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/GUI_window-manager_differences.2.py,nonportable,x-ai/grok-4-fast,portable
nonportable/GUI_window-manager_differences.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/GUI_window-manager_differences.2.py,nonportable,deepseek/deepseek-chat-v3.1:free,portable
